industry,region,company_size,company_revenue,contact_role,seniority,lead_source,opportunity_created,demo_completed,expected_acv,inbound_touches,outbound_touches,touches_week_1,touches_last_7_days,days_since_first_touch,web_sessions,sales_activities,days_since_last_touch,acquisition_wave,converted,__leakage__touches_post_snapshot_15_90
healthcare_non_clinical,US,200-499,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,0,85000.0,16,0,9,7,13.0,3,2,3.0,C,1,10
professional_services,US,1000-1999,$50M-$200M,procurement_manager,c_suite,sdr_outbound,0,0,85000.0,0,9,4,5,13.0,2,0,0.0,B,0,14
logistics,UK,1000-1999,$1M-$10M,vp_finance,c_suite,inbound_marketing,0,0,25000.0,8,0,5,3,14.0,1,2,0.0,A,0,18
professional_services,UK,500-999,$10M-$50M,vp_finance,manager,sdr_outbound,1,0,55000.0,0,18,13,5,14.0,,2,1.0,C,0,5
manufacturing,US,1000-1999,$200M+,it_director,director,inbound_marketing,0,0,115669.0,14,0,9,5,14.0,2,0,0.0,A,0,9
professional_services,US,200-499,$200M+,vp_finance,c_suite,sdr_outbound,0,0,119006.0,0,11,6,5,14.0,3,0,0.0,A,0,22
manufacturing,US,2000+,$50M-$200M,it_director,individual_contributor,inbound_marketing,0,0,85000.0,3,0,3,0,14.0,1,0,12.0,B,0,0
logistics,UK,200-499,$1M-$10M,ap_manager,manager,inbound_marketing,0,0,25000.0,15,0,8,7,13.0,3,1,1.0,C,0,9
manufacturing,US,200-499,$10M-$50M,procurement_manager,manager,sdr_outbound,0,0,55000.0,0,14,9,5,14.0,3,2,,A,1,27
professional_services,US,200-499,$10M-$50M,ap_manager,c_suite,partner_referral,0,0,55000.0,0,10,5,5,11.0,2,2,1.0,A,0,13
professional_services,UK,200-499,$1M-$10M,ap_manager,manager,inbound_marketing,1,0,25000.0,15,0,10,5,14.0,2,1,0.0,C,0,7
professional_services,US,2000+,$10M-$50M,procurement_manager,individual_contributor,sdr_outbound,1,0,55000.0,0,14,8,6,13.0,6,1,2.0,C,0,21
manufacturing,US,500-999,$1M-$10M,vp_finance,vp,inbound_marketing,1,0,25000.0,9,0,8,1,14.0,2,0,6.0,A,0,0
logistics,UK,200-499,$200M+,vp_finance,individual_contributor,sdr_outbound,1,0,118428.0,0,18,11,7,13.0,2,1,2.0,A,1,8
