industry,region,company_size,company_revenue,contact_role,seniority,lead_source,opportunity_created,demo_completed,expected_acv,inbound_touches,outbound_touches,touches_week_1,touches_last_7_days,days_since_first_touch,web_sessions,sales_activities,days_since_last_touch,acquisition_wave,converted
manufacturing,US,200-499,$10M-$50M,procurement_manager,manager,inbound_marketing,1,0,,28,0,17,5,20.0,5,4,0.0,C,0
logistics,US,1000-1999,$1M-$10M,ap_manager,director,inbound_marketing,0,0,25000.0,16,0,5,4,19.0,3,2,0.0,B,0
manufacturing,UK,2000+,$1M-$10M,vp_finance,vp,sdr_outbound,0,0,25000.0,0,6,2,1,19.0,2,0,0.0,B,0
healthcare_non_clinical,UK,500-999,$10M-$50M,procurement_manager,individual_contributor,sdr_outbound,1,0,70197.0,0,16,8,1,20.0,3,5,3.0,A,0
professional_services,US,500-999,$10M-$50M,it_director,director,partner_referral,0,0,55000.0,0,19,13,4,20.0,6,2,0.0,A,0
professional_services,UK,1000-1999,$200M+,vp_finance,manager,sdr_outbound,1,1,119105.0,0,21,9,7,20.0,5,4,0.0,C,0
healthcare_non_clinical,US,200-499,$200M+,it_director,manager,inbound_marketing,1,0,119104.0,17,0,7,6,20.0,3,0,1.0,C,0
healthcare_non_clinical,UK,500-999,$50M-$200M,procurement_manager,manager,sdr_outbound,1,0,85000.0,0,20,14,4,,3,4,0.0,C,0
healthcare_non_clinical,US,200-499,$10M-$50M,procurement_manager,manager,sdr_outbound,1,0,55000.0,0,19,13,1,20.0,1,4,,C,0
healthcare_non_clinical,UK,200-499,$10M-$50M,procurement_manager,director,sdr_outbound,0,0,55000.0,0,18,7,2,19.0,7,4,1.0,B,0
healthcare_non_clinical,UK,2000+,$1M-$10M,ap_manager,c_suite,sdr_outbound,0,0,25000.0,0,12,9,0,20.0,3,1,10.0,B,0
healthcare_non_clinical,UK,200-499,$1M-$10M,procurement_manager,manager,sdr_outbound,0,0,25000.0,0,12,3,6,19.0,2,0,0.0,B,0
logistics,US,200-499,$10M-$50M,vp_finance,vp,inbound_marketing,0,0,55000.0,21,0,14,4,20.0,2,1,1.0,B,0
manufacturing,US,500-999,$50M-$200M,vp_finance,director,partner_referral,0,0,85000.0,0,25,11,8,20.0,7,4,0.0,A,0
manufacturing,UK,500-999,$1M-$10M,ap_manager,,partner_referral,1,0,65601.0,0,22,14,4,20.0,4,2,2.0,B,0
healthcare_non_clinical,UK,200-499,$10M-$50M,ap_manager,director,sdr_outbound,0,0,55000.0,0,17,5,6,18.0,3,1,0.0,C,0
logistics,US,200-499,$50M-$200M,vp_finance,individual_contributor,sdr_outbound,1,0,30035.0,0,23,9,6,19.0,5,0,1.0,C,0
healthcare_non_clinical,US,500-999,$50M-$200M,procurement_manager,manager,inbound_marketing,0,0,85000.0,18,0,9,4,20.0,3,5,1.0,B,0
professional_services,US,500-999,$1M-$10M,it_director,individual_contributor,sdr_outbound,1,0,25000.0,0,14,4,5,20.0,4,2,0.0,B,1
logistics,UK,200-499,$1M-$10M,vp_finance,manager,sdr_outbound,1,1,25754.0,0,23,11,6,19.0,3,4,0.0,B,0
manufacturing,UK,500-999,$200M+,vp_finance,c_suite,sdr_outbound,1,0,116983.0,0,21,9,9,20.0,4,4,2.0,A,0
manufacturing,UK,200-499,$1M-$10M,procurement_manager,director,inbound_marketing,1,0,25000.0,17,0,10,5,19.0,3,1,2.0,A,0
logistics,US,200-499,$50M-$200M,vp_finance,manager,sdr_outbound,0,0,85000.0,0,5,5,0,20.0,2,0,17.0,C,0
professional_services,US,1000-1999,$10M-$50M,it_director,vp,inbound_marketing,1,0,55000.0,17,0,9,6,18.0,6,3,0.0,B,1
manufacturing,US,500-999,$50M-$200M,procurement_manager,individual_contributor,inbound_marketing,1,0,44560.0,15,0,8,3,20.0,5,0,1.0,B,0
healthcare_non_clinical,US,200-499,$10M-$50M,it_director,director,partner_referral,1,0,48229.0,0,24,9,6,19.0,5,4,0.0,B,0
manufacturing,US,200-499,$50M-$200M,vp_finance,director,sdr_outbound,1,1,18000.0,0,26,10,8,20.0,6,5,0.0,A,0
